ID,Name,Organization,Position,Status,"Has Photo"
4424,"Wim Ouboter","Microlino AG (Micro Mobility Systems)","Founder & CEO",publish,Yes
4425,"Wolfram Uerlich",goFLUX,Founder,publish,Yes
4426,"Xanthi Doubara","Via Transportation Berlin",CEO,publish,Yes
4411,"Olga Nevska",Telekom,CEO,publish,Yes
4412,"Oliver Blume",Volkswagen,CEO,publish,Yes
4413,"Oliver May-Beckmann",MCUBE,"Managing Director MCube @ TUM - Munich Cluster for the Future of Mobility | Nachhaltige Mobilitätsinnovationen",publish,Yes
4414,"Oliver Zipse",BMW,CEO,publish,Yes
4415,"Prof. Dr. Uwe Schneidewind","Stadt Wuppertal",Oberbürgermeister,publish,Yes
4416,"Rönke von der Heide","Zukunft Nahverkehr","CÖÖ Chief Öperation Öfficer",publish,Yes
4417,"Roy Uhlmann","Motor Ai",CEO,publish,Yes
4418,"Sarah Fleischer",ToZero,"Co-Founder and CEO",publish,Yes
4419,"Sascha Meyer",MOIA,CEO,publish,Yes
4420,"Sebastian Tanzer",Triply,"CEO & Co-Founder",publish,Yes
4421,"Stephan Obwegeser","Touring Club Schweiz (TCS)","Leiter e-Mikromobilität",publish,Yes
4422,"Tobias Liebelt","Benteler Mobility Services",CEO,publish,Yes
4423,"Wen Han","Windrose Technology",Gründer,publish,Yes
4395,"Helmut Ruhl",AMAG,CEO,publish,Yes
4397,"Horst Graef","deer GmbH",Geschäfstführer,publish,Yes
4398,"Johannes Pallasch","NOW – Nationale Leitstelle Ladeinfrastruktur","Leiter Nationale Leitstelle Ladeinfrastruktur (Sprecher)",publish,Yes
4399,"Judith Häberli","Urban Connect","Chief Growth Officer & Co‑Founder",publish,Yes
4400,"Karel Dijkman",Cargobee,"Gründer und Inhaber",publish,Yes
4401,"Katharina Kreutzer",MOVN,"CEO and Co-Founder",publish,Yes
4402,"Kevin Löffelbein",nowaclean,"Gründer & Geschäftsführer",publish,Yes
4403,"Klaus Zellmer",Skoda,CEO,publish,Yes
4404,"Léa Miggiano",carvolution,"Co-Founder & CMO",publish,Yes
4405,"Lukas Stranger",NXRT,CEO,publish,Yes
4406,"Manuel Herzog",TIER-Dott,"Managing Director & Country Manager Schweiz",publish,Yes
4407,"Marc Schindler",Ottobahn,CEO,publish,Yes
4408,"Matthias Ballweg","Circular Republic, TU München","Co-Gründer & CEO",publish,Yes
4409,"Michael Klasa",Swisscom,"Head of Mobility @ Swisscom | Passion for (Corporate) Mobility | Smart Mobility Management @ HSG",publish,Yes
4410,"Nic Knapp","TUM Venture Labs","Managing Director",publish,Yes
4379,"Anjes Tjarks","Hansestadt Hamburg","Senator Verkehr",publish,Yes
4380,"Anna-Theresa Korbutt","Hamburger Verkehrsverbund (HVV)",Geschäftsführerin,publish,Yes
4382,"Björn Bender","Rail Europe SAS",CEO,publish,Yes
4383,"Boris Palmer","Stadt Tübingen",Bürgermeister,publish,Yes
4384,"Catrin von Cisewski",Telekom,"Smart City Expertin",publish,Yes
4385,"Christine von Breitenbuch","IAA Mobility, Messe München",Direktorin,publish,Yes
4386,"Christoph Seyerlein","Manager MAGAZIN","Redakteur Mobilität",publish,Yes
4387,"Christoph Weigler",UBER,"Managing Director DACH",publish,Yes
4388,"Dr. Christian Dahlheim","Volkswagen Financial Services",CEO,publish,Yes
4389,"Dr. Corsin Sulser",Parcandi,Gründer,publish,Yes
4390,"Dr. Jan Hegner",dromos,"Co-Founder & SVP Sales",publish,Yes
4391,"Fabian Beste",4Screen,"Co-Founder & CEO",publish,Yes
4392,"Felix Pörnbacher",DeepDrive,"Co-Founder & Co-CEO",publish,Yes
4393,"Franz Reiner","Mercedes Benz Mobility AG",CEO,publish,Yes
4394,"Friedrich Dräxlmaier","DRÄXLMAIER Group","Chairman of the Administrative Board",publish,Yes
4377,"Alexander Möller",VDV,Geschäftsführer,publish,Yes
4378,"André Schwämmlein",FlixBus,CEO,publish,Yes
